epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,23300.8,0.45019,0.28668,0.90251,0.98565,0.92132,0.95914,0.88385,0.45697,0.25914,0.91575,0.004456,0.004456,0.004456
86,23575.1,0.44815,0.28424,0.89845,0.9839,0.92312,0.95842,0.88168,0.4558,0.25964,0.91473,0.00439,0.00439,0.00439
87,23849.4,0.45834,0.28707,0.90341,0.97899,0.92834,0.95944,0.88369,0.45495,0.25836,0.91286,0.004324,0.004324,0.004324
88,24124.3,0.44019,0.28425,0.89537,0.9864,0.92055,0.959,0.88297,0.45527,0.25904,0.91512,0.004258,0.004258,0.004258
89,24398.8,0.44416,0.28045,0.89899,0.98133,0.9255,0.95991,0.88748,0.4531,0.26096,0.91337,0.004192,0.004192,0.004192
90,24674.3,0.44626,0.28098,0.90323,0.98309,0.9252,0.95845,0.88413,0.45284,0.25448,0.91527,0.004126,0.004126,0.004126
91,24949.2,0.44059,0.28024,0.89392,0.9834,0.92401,0.95969,0.88415,0.45128,0.25342,0.91425,0.00406,0.00406,0.00406
92,25224.3,0.43838,0.27329,0.89707,0.9852,0.92239,0.95916,0.88384,0.44985,0.25187,0.91135,0.003994,0.003994,0.003994
93,25499.7,0.43493,0.2768,0.89977,0.98824,0.92155,0.96041,0.88595,0.44933,0.25279,0.90949,0.003928,0.003928,0.003928
94,25774.3,0.43349,0.27505,0.89275,0.98295,0.93122,0.95993,0.88592,0.4532,0.25232,0.91337,0.003862,0.003862,0.003862
95,26049.4,0.43393,0.26933,0.89644,0.98595,0.92366,0.95985,0.8862,0.45033,0.25367,0.91065,0.003796,0.003796,0.003796
96,26323.4,0.4292,0.26773,0.89228,0.98966,0.92561,0.96159,0.88757,0.44761,0.25043,0.90685,0.00373,0.00373,0.00373
97,26598.1,0.42874,0.27015,0.89074,0.98345,0.93236,0.96084,0.88817,0.44638,0.24993,0.90849,0.003664,0.003664,0.003664
98,26872.3,0.43025,0.26739,0.89204,0.98253,0.93421,0.96145,0.88734,0.44681,0.24652,0.90875,0.003598,0.003598,0.003598
99,27147.2,0.41952,0.26267,0.89061,0.99063,0.92527,0.96168,0.8888,0.44482,0.24555,0.91091,0.003532,0.003532,0.003532
100,27421.8,0.42616,0.26331,0.89351,0.9887,0.92395,0.96019,0.88734,0.44431,0.24746,0.91233,0.003466,0.003466,0.003466
101,27697,0.41631,0.26084,0.88613,0.98937,0.92453,0.95957,0.88771,0.44393,0.24859,0.91182,0.0034,0.0034,0.0034
102,27972,0.41373,0.25948,0.88861,0.98118,0.92888,0.95951,0.88681,0.44308,0.24815,0.91128,0.003334,0.003334,0.003334
103,28247.7,0.41195,0.25696,0.88546,0.99,0.91894,0.95926,0.887,0.44207,0.24867,0.90906,0.003268,0.003268,0.003268
104,28522.1,0.41373,0.25571,0.8875,0.98634,0.92467,0.95924,0.88792,0.4406,0.24937,0.90911,0.003202,0.003202,0.003202
105,28797.2,0.41016,0.25713,0.8851,0.98743,0.92415,0.95976,0.88872,0.44041,0.24806,0.90952,0.003136,0.003136,0.003136
106,29072.9,0.4047,0.25237,0.88315,0.98467,0.92196,0.95995,0.88905,0.43926,0.24748,0.91017,0.00307,0.00307,0.00307
107,29348,0.41023,0.2589,0.88383,0.98842,0.92292,0.95999,0.88928,0.43948,0.25081,0.90539,0.003004,0.003004,0.003004
108,29623.7,0.40724,0.25365,0.88531,0.98495,0.92806,0.96014,0.8882,0.43918,0.24804,0.9046,0.002938,0.002938,0.002938
109,29898.8,0.39951,0.25443,0.88255,0.98814,0.92307,0.96043,0.88818,0.4373,0.24724,0.90623,0.002872,0.002872,0.002872
110,30174.4,0.39901,0.24737,0.88123,0.99184,0.92345,0.95963,0.88922,0.43726,0.24641,0.90785,0.002806,0.002806,0.002806
111,30450.5,0.39555,0.24631,0.87968,0.99225,0.92259,0.96035,0.88829,0.4394,0.24635,0.91001,0.00274,0.00274,0.00274
112,30726.3,0.3978,0.24913,0.88387,0.98773,0.92604,0.96121,0.89076,0.43965,0.24727,0.91144,0.002674,0.002674,0.002674
113,31002.1,0.3974,0.24605,0.87887,0.98848,0.92465,0.96116,0.89129,0.43786,0.24457,0.91176,0.002608,0.002608,0.002608
114,31278,0.38578,0.24427,0.87854,0.98905,0.92294,0.9605,0.89199,0.43589,0.24435,0.91136,0.002542,0.002542,0.002542
115,31553.5,0.39268,0.24438,0.87833,0.98614,0.92644,0.96096,0.8908,0.43661,0.24543,0.91086,0.002476,0.002476,0.002476
116,31828.7,0.3904,0.2412,0.87745,0.98668,0.92891,0.96055,0.89114,0.43648,0.24582,0.91148,0.00241,0.00241,0.00241
117,32103.3,0.38462,0.24027,0.876,0.98165,0.93094,0.96064,0.89087,0.4369,0.24541,0.9119,0.002344,0.002344,0.002344
118,32379.1,0.38565,0.23855,0.87642,0.98907,0.92823,0.96172,0.89005,0.43576,0.24131,0.91177,0.002278,0.002278,0.002278
119,32655.1,0.38387,0.23929,0.87388,0.98606,0.92995,0.96172,0.88967,0.43711,0.24189,0.91334,0.002212,0.002212,0.002212
120,32930.3,0.38011,0.23481,0.87862,0.98728,0.92906,0.96144,0.89027,0.43509,0.24165,0.91254,0.002146,0.002146,0.002146
121,33205.1,0.37564,0.23202,0.86918,0.98717,0.93048,0.96166,0.89083,0.43562,0.24298,0.91308,0.00208,0.00208,0.00208
122,33480.7,0.37354,0.23086,0.87007,0.98781,0.92817,0.96066,0.88993,0.43383,0.24266,0.91245,0.002014,0.002014,0.002014
123,33756.1,0.37552,0.23151,0.8788,0.99027,0.92707,0.96104,0.88995,0.43351,0.24185,0.91483,0.001948,0.001948,0.001948
124,34031.6,0.36947,0.22903,0.87366,0.98756,0.92846,0.96106,0.88965,0.43348,0.2412,0.91499,0.001882,0.001882,0.001882
125,34306.7,0.36935,0.23132,0.87185,0.98611,0.92917,0.96075,0.88985,0.43318,0.24215,0.91411,0.001816,0.001816,0.001816
126,34582,0.37171,0.23039,0.87111,0.9875,0.9301,0.96157,0.88979,0.43378,0.24148,0.91349,0.00175,0.00175,0.00175
127,34860,0.36753,0.22653,0.86814,0.98816,0.9295,0.96143,0.8912,0.43298,0.24068,0.91292,0.001684,0.001684,0.001684
128,35134.7,0.36522,0.22389,0.86998,0.98803,0.92948,0.9617,0.89132,0.43212,0.23917,0.91253,0.001618,0.001618,0.001618
129,35410.8,0.36147,0.22142,0.86832,0.98853,0.92856,0.96168,0.89103,0.43228,0.2392,0.91272,0.001552,0.001552,0.001552
